name,version,median,min,max,accuracy
C++ (avx2),15.2.0,350.56,350.44,351.02,9.4973
Zig,0.15.2,350.82,350.57,351.01,9.4985
D (LDC),1.41.0,351.8,351.26,352.18,9.4985
Fortran 90,14.2.0,351.78,351.64,351.87,9.3895
C++ (clang++),21.1.2,353.67,353.22,354.91,9.4985
Rust (nightly),1.94.0,355.78,355.75,356.31,9.4952
C (gcc),15.2.0,399.53,399.2,399.61,9.4943
C++ (g++),15.2.0,399.39,399.28,399.84,9.4943
D (GDC),15.2.0,402.98,402.59,403.01,9.4943
Nim,2.2.0,422.6,422.59,423.14,9.5
Julia (ux4),1.11.6,470.98,463.96,471.25,5.2662
C (clang),21.1.2,577.32,577.12,577.8,9.4985
Swift (SIMD),6.0.3,838.15,837.54,840.74,8.6928
Julia,1.11.6,918.24,916.63,933.95,9.4958
Rust,1.83.0,934.1,934.09,934.37,9.4979
Objective-C,21.1.2,1153.11,1152.8,1153.84,9.4964
OCaml,5.4.0,1155.63,1155.01,1156.38,9.4971
Dart (AOT),3.10.3,1160.91,1158.1,1161.45,9.4979
C#,9.0.203,1210.97,1209.88,1219.88,9.4979
Pascal (FPC),3.2.2,1401.58,1401.54,1401.72,9.4979
Scala,3.7.4,1401.84,1401.59,1402.39,9.4979
Odin,2025,1403.0,1402.23,1403.42,9.4979
V,0.4.12,1403.69,1403.09,1404.21,9.4979
Ada (gnat-gcc),15.2.0,1403.58,1403.47,1403.83,9.4964
Go,1.23.12,1404.86,1403.67,1405.22,9.4979
Common Lisp (SBCL),2.5.11,1406.31,1406.24,1406.54,9.4979
WASM (C via Wasmtime),29.0.1,1408.14,1407.72,1408.54,9.4979
Java graalvm,25.0.1,1408.08,1408.07,1408.69,9.4964
Swift,6.0.3,1408.14,1408.08,1413.91,9.4964
Pony,0.58.0,1411.1,1408.23,1412.55,9.4979
Pony(nightly),20231205,1410.58,1410.07,1411.78,9.4979
LuaJIT,2.1.1723681758,1461.5,1451.54,1464.16,9.4964
Javascript (bun),1.2.23,1458.94,1457.68,1465.42,9.4979
Julia (AOT compiled),1.11.7,1462.54,1460.2,1465.71,9.4964
F#,9.0.203,1481.1,1475.69,1481.61,9.4979
Kotlin,2.1.21,1480.22,1479.89,1480.86,9.4979
Crystal,1.15.1,1553.6,1552.52,1556.71,9.4964
Javascript (nodejs),22.21.1,1592.53,1590.91,1593.98,9.4979
Deno (TypeScript),2.5.6,1593.66,1591.64,1594.38,9.4979
Java (Vec Ops),21.0.9,1908.09,1884.52,1919.91,9.4979
Haskell (GHC),9.10.3,2505.75,2505.69,2506.53,9.4979
Java,21.0.9,3249.34,3247.77,3250.53,9.4964
Clojure,1.12.3.1577,3492.5,3438.62,3516.85,9.4979
Python (NumPy),3.13.10,3679.01,3535.42,3752.75,9.4971
Python (MyPyC),1.19.0,4077.72,4076.66,4082.09,9.4979
Python (PyPy),3.10.16,4118.41,4115.58,4160.66,9.4971
Dart (JIT),3.10.3,5031.31,4979.06,5041.53,9.4979
R,4.5.2,5034.42,5018.11,5049.22,9.4971
Groovy,4.0.27,10795.37,10781.99,11031.43,9.4964
Erlang,28.2,13992.02,13890.59,14307.62,9.4979
PHP,8.4.15,14510.51,14461.74,14510.94,9.4979
Lua,5.4.8,14730.16,14715.53,14731.91,9.4964
Haxe (C++),4.3.6,16288.72,16276.08,16468.23,9.4964
Elixir,15.2.7.4,22475.26,22462.3,22477.72,8.4326
Racket,9.0,29197.47,29016.43,29222.15,9.4979
Janet (compiled),1.40.1,33810.13,33701.08,34038.94,9.4979
Gleam,1.13.0,42664.7,42503.68,42673.13,9.4979
Python (CPython),3.13.10,78096.56,75517.62,78242.14,9.4971
Perl,5,85257.39,85194.47,85345.81,9.4964
Janet,1.40.1,99599.8,99563.47,100287.88,9.4979
Ruby,3.4.7,102391.48,102371.02,102735.69,9.4964
Raku,2025.10,282487.98,263578.18,284470.38,9.4964
